Input (Misspelled),Expected Output,Predicted Output (Top-1),Top-3 Predictions,Correct?
gampliation,ampliation,ampliation,"ampliation, taliation, glaciation",✅
pulvreizator,pulverizator,pulverizator,"pulverizator, curator, revelator",✅
pebleware,pebbleware,pebbleware,"pebbleware, crackleware, willowware",✅
trcohodendron,trochodendron,trochodendron,"trochodendron, myzodendron, dendrocygna",✅
stryhcninism,strychninism,strychninism,"strychninism, strockle, stroky",✅
icnarnate,incarnate,incarnate,"incarnate, incardinate, carnaged",✅
rsoebud,rosebud,rosebud,"rosebud, amoeban, enshroud",✅
qenightedness,benightedness,benightedness,"benightedness, weighted, uninterestedness",✅
uona,ona,ona,"ona, tayrona, quondam",✅
overfatiugue,overfatigue,overfatigue,"overfatigue, overfall, overable",✅
recwptacle,receptacle,receptacle,"receptacle, recitative, reapable",✅
gudpard,guepard,guepard,"guepard, gudebrother, gabbard",✅
bifurctaion,bifurcation,bifurcation,"bifurcation, fictation, burion",✅
pskeudohexagonal,pseudohexagonal,pseudohexagonal,"pseudohexagonal, hexagonical, gonal",✅
unthrvingness,unthrivingness,unthrivingness,"unthrivingness, unthrall, unthreaded",✅
apnhandle,panhandle,panhandle,"panhandle, dandle, landless",✅
lbarum,labrum,labrum,"labrum, baruch, oleosaccharum",✅
recixilize,recivilize,recivilize,"recivilize, recitative, sucivilized",✅
bratticnig,bratticing,bratticing,"bratticing, upattic, chatting",✅
nulifidian,nullifidian,nullifidian,"nullifidian, nullisome, inframedian",✅
polypodaceae,polypodiaceae,polypodiaceae,"polypodiaceae, polypterus, polemoniaceae",✅
pneumoperitonuem,pneumoperitoneum,pneumoperitoneum,"pneumoperitoneum, hemoperitoneum, pneumatic",✅
edaurdo,eduardo,eduardo,"eduardo, desperado, whaur",✅
whaizzer,whizzer,whizzer,"whizzer, wusser, whaur",✅
benciet,bencite,bencite,"bencite, banquet, beset",✅
nosnystematic,nonsystematic,nonsystematic,"nonsystematic, systatic, pneumatic",✅
woodwardza,woodwardia,woodwardia,"woodwardia, woodskin, wayward",✅
antifibrinloysis,antifibrinolysis,antifibrinolysis,"antifibrinolysis, antivibrator, antipharmic",✅
dacryoadenityis,dacryoadenitis,dacryoadenitis,"dacryoadenitis, tarsadenitis, dacryagogue",✅
bicorpgral,bicorporal,bicorporal,"bicorporal, discorporate, tubicornous",✅
overgrtaefully,overgratefully,overgratefully,"overgratefully, overcasual, overcontentedly",✅
viliyfingly,vilifyingly,vilifyingly,"vilifyingly, varyingly, tiringly",✅
desexuaiize,desexualize,desexualize,"desexualize, asexuality, desensitizer",✅
feverify,reverify,reverify,"reverify, feverberry, diselectrify",✅
chloarimetry,chlorimetry,chlorimetry,"chlorimetry, chlorometry, focimetry",✅
unclassabfeness,unclassableness,unclassableness,"unclassableness, unceasingness, unusableness",✅
superaccomplishde,superaccomplished,superaccomplished,"superaccomplished, superexpenditure, superextreme",✅
bses,bess,subseries,"subseries, anes, beset",❌
idnetity,identity,identity,"identity, monetite, inanity",✅
himaan,himawan,himawan,"himawan, primarian, hiant",✅
phoncticize,phoneticize,phoneticize,"phoneticize, overcriticize, chromicize",✅
altriust,altruist,altruist,"altruist, ultraist, altern",✅
surrebxttal,surrebuttal,surrebuttal,"surrebuttal, surrebound, subfrontal",✅
desijrous,desirous,desirous,"desirous, desiderata, designatory",✅
resistilbly,resistibly,resistibly,"resistibly, resistibility, resing",✅
altpan,saltpan,saltpan,"saltpan, altern, sapan",✅
forfult,forfault,forfault,"forfault, forfend, for",✅
predelegation,predelegation,predelegation,"predelegation, predella, predeliberately",✅
outswera,outswear,outswear,"outswear, outsit, outstair",✅
semicardienal,semicardinal,semicardinal,"semicardinal, semicentennial, pericardiopleural",✅
prasitidae,parasitidae,parasitidae,"parasitidae, parasitotrope, cobitidae",✅
earcockel,earcockle,earcockle,"earcockle, bearcoot, earpick",✅
ivgan,ivan,ivan,"ivan, wangan, biorgan",✅
nthricecock,thricecock,thricecock,"thricecock, bibcock, unthrifty",✅
upbumped,unbumped,unbumped,"unbumped, untrumped, upbuilder",✅
anhtemy,anthemy,anthemy,"anthemy, panhyperemia, anoxemic",✅
proconinae,procyoninae,procyoninae,"procyoninae, preconizance, liroconite",✅
massednxess,massedness,massedness,"massedness, overblessedness, bassness",✅
pedoloigstically,pedologistically,pedologistically,"pedologistically, pedologist, cabalistically",✅
chatne,chane,chane,"chane, chatti, chatting",✅
slubbbery,slubbery,slubbery,"slubbery, clubber, blubberman",✅
toipi,taipi,taipi,"taipi, toit, toilless",✅
splenololgy,splenology,splenology,"splenology, splenolymph, splendor",✅
ammonion,ammonion,ammonion,"ammonion, onion, diammonium",✅
sporangiloa,sporangiola,sporangiola,"sporangiola, sporangiole, sporange",✅
ceratophyet,ceratophyte,ceratophyte,"ceratophyte, certification, nematophyton",✅
nicely,nicely,nicely,"nicely, iceland, nickneven",✅
pzstful,pestful,pestful,"pestful, gustful, distrustful",✅
allanaoinuria,allantoinuria,allantoinuria,"allantoinuria, manurial, uria",✅
endopfleura,endopleura,endopleura,"endopleura, unadopted, extrapleural",✅
everywhn,everywhen,everywhen,"everywhen, overawn, eversive",✅
indperivability,indeprivability,indeprivability,"indeprivability, inamovability, independable",✅
piltokc,piltock,piltock,"piltock, miltonist, pililloo",✅
qulikin,quilkin,quilkin,"quilkin, doitkin, quakerlike",✅
cradiopathy,cardiopathy,cardiopathy,"cardiopathy, radiolite, radiatopatent",✅
panleucopvnia,panleucopenia,panleucopenia,"panleucopenia, leucocytoplania, leucocytic",✅
deconsidyr,deconsider,deconsider,"deconsider, consign, decoctum",✅
musaang,mustang,mustang,"mustang, juang, muscid",✅
idgitus,digitus,digitus,"digitus, pidgin, transitus",✅
ctotylosaur,cotylosaur,cotylosaur,"cotylosaur, cotylophora, daktylos",✅
ovrtint,overtint,overtint,"overtint, overhit, overeaten",✅
zsafari,safari,safari,"safari, safi, begari",✅
uneaxctly,unexactly,unexactly,"unexactly, unexercise, unexplicitness",✅
ocwen,owen,owen,"owen, owenism, pen",✅
galenit,galenist,galenic,"galenic, galenist, galvanist",❌
suam,saum,suum,"suum, suably, yam",❌
subdialetally,subdialectally,subdialectally,"subdialectally, distally, subdue",✅
fissipeoia,fissipedia,fissipedia,"fissipedia, fissicostate, dissipative",✅
olcomotive,locomotive,locomotive,"locomotive, promotive, aconative",✅
chrondoeik,chronodeik,chronodeik,"chronodeik, chronologic, chronical",✅
isoprppylacetic,isopropylacetic,isopropylacetic,"isopropylacetic, cyanoacetic, isopilocarpine",✅
puredicate,predicate,predicate,"predicate, vindicate, suricate",✅
disturbd,disturbed,disturbed,"disturbed, distrustful, distributee",✅
govwrnor,governor,governor,"governor, contratenor, preternormal",✅
midzwife,midwife,midwife,"midwife, mider, midmorning",✅
tetrasompic,tetrasomic,tetrasomic,"tetrasomic, tetrastichous, tetrazene",✅
xsclepius,asclepius,asclepius,"asclepius, asclent, sergius",✅
biio,bilio,bilio,"bilio, bilin, bivious",✅
wiredorm,wireworm,wireworm,"wireworm, spiriform, glareworm",✅
repelviable,repleviable,repleviable,"repleviable, irrepleviable, unrepealable",✅
caesless,caseless,caseless,"caseless, buttressless, vassaless",✅
blockxheadedly,blockheadedly,blockheadedly,"blockheadedly, strongheadedly, soundheaded",✅
vechicular,vehicular,vehicular,"vehicular, silicular, ovotesticular",✅
diatoimc,diatomic,diatomic,"diatomic, radiatory, diastatic",✅
jewutong,jelutong,jelutong,"jelutong, apitong, headstrong",✅
dulctely,dulcetly,dulcetly,"dulcetly, undulately, telically",✅
cacessioner,accessioner,accessioner,"accessioner, precisioner, commissionership",✅
cutsector,cutisector,cutisector,"cutisector, protector, reinspector",✅
smafari,safari,safari,"safari, seafardinger, begari",✅
inurbanfeness,inurbaneness,inurbaneness,"inurbaneness, insaneness, unusableness",✅
inexrpessibly,inexpressibly,inexpressibly,"inexpressibly, inexhaustively, inexpectation",✅
imaqgery,imagery,imagery,"imagery, wordmongery, wavery",✅
hypeextend,hyperextend,hyperextend,"hyperextend, hypoxanthic, hypocist",✅
inoculatiron,inoculation,inoculation,"inoculation, inoculate, articulation",✅
tubier,tubifer,tubifer,"tubifer, tubiflorous, tubicornous",✅
photometeir,photometeor,photometeor,"photometeor, photomapper, photo",✅
reucr,recur,reunify,"reunify, reunition, rever",❌
emccan,meccan,meccan,"meccan, guatemaltecan, vesicant",✅
outswt,outsit,outsit,"outsit, outstair, outswear",✅
pnumatic,pneumatic,pneumatic,"pneumatic, pneumatics, pneumatolitic",✅
ebjazz,bejazz,bejazz,"bejazz, ebullient, debutant",✅
gloxynia,gloxinia,gloxinia,"gloxinia, glycosaemia, rachiodynia",✅
isoekraunophonic,isokeraunophonic,isokeraunophonic,"isokeraunophonic, hypophonic, disulphonic",✅
revmivalist,revivalist,revivalist,"revivalist, moralist, initialist",✅
monoylocular,monolocular,monolocular,"monolocular, monocultural, dimolecular",✅
xprinceps,princeps,princeps,"princeps, sprinter, superincomprehensible",✅
krauroztic,kraurotic,kraurotic,"kraurotic, taurocholic, krameriaceae",✅
pyrogeneically,pyrogenetically,pyrogenetically,"pyrogenetically, pyrogen, pyrochemically",✅
sna,ona,snaringly,"snaringly, ona, snaileater",❌
ztetranitrate,tetranitrate,tetranitrate,"tetranitrate, tetrathionates, sodiocitrate",✅
raptuatorial,raptatorial,raptatorial,"raptatorial, amatorial, adaptorial",✅
creteafction,cretefaction,cretefaction,"cretefaction, nonretraction, lection",✅
vtelergical,telergical,telergical,"telergical, micrurgical, eulogical",✅
srewstem,screwstem,screwstem,"screwstem, shrewdom, oreweed",✅
sacchariiity,saccharinity,saccharinity,"saccharinity, saccharinate, saccharohumic",✅
shaawanese,shawanese,shawanese,"shawanese, shawnee, himawan",✅
alcoholohpilia,alcoholophilia,alcoholophilia,"alcoholophilia, holohyaline, alca",✅
predeilberately,predeliberately,predeliberately,"predeliberately, predelegation, predella",✅
unscrupuloisty,unscrupulosity,unscrupulosity,"unscrupulosity, inscrutability, scrupuli",✅
voliitent,volitient,volitient,"volitient, latent, volently",✅
ypnkeeness,yankeeness,yankeeness,"yankeeness, ankee, soreness",✅
duncfcal,duncical,duncical,"duncical, dunderpate, deifical",✅
cmbersome,cumbersome,cumbersome,"cumbersome, perisome, gonesome",✅
cerawtophyte,ceratophyte,ceratophyte,"ceratophyte, eophyte, biophyte",✅
gentleearted,gentlehearted,gentlehearted,"gentlehearted, gentilization, greathearted",✅
scioot,scoot,scoot,"scoot, sclate, scroo",✅
edeeagra,edeagra,edeagra,"edeagra, omagra, infragrant",✅
geedckt,gedeckt,gedeckt,"gedeckt, geoduck, reed",✅
strwberry,strawberry,strawberry,"strawberry, stript, stripling",✅
miah,mah,mah,"mah, miasmous, norah",✅
resistiiblity,resistibility,resistibility,"resistibility, resistibly, refractility",✅
recepatcle,receptacle,receptacle,"receptacle, repatent, recreative",✅
isaeli,israeli,israeli,"israeli, safi, disarming",✅
compasshble,compassable,compassable,"compassable, compasser, compositively",✅
allurement,allurement,allurement,"allurement, prefigurement, huddlement",✅
berycoeidei,berycoidei,berycoidei,"berycoidei, placoganoidei, heteroproteide",✅
sotition,sortition,sortition,"sortition, reunition, titeration",✅
sealvianin,salvianin,salvianin,"salvianin, slavian, galvanist",✅
ollifiable,mollifiable,mollifiable,"mollifiable, mollifier, unsulliable",✅
srhavey,shravey,shravey,"shravey, mohave, drawshave",✅
upnrompted,unprompted,unprompted,"unprompted, unadopted, promptress",✅
lapyidate,lapidate,lapidate,"lapidate, lapidist, promuscidate",✅
digenegtic,digenetic,digenetic,"digenetic, indigent, venetic",✅
ibrainache,brainache,brainache,"brainache, spinach, tepache",✅
onostich,monostich,monostich,"monostich, heptastich, laparostict",✅
yakkeeness,yankeeness,yankeeness,"yankeeness, yawniness, soreness",✅
sporangoile,sporangiole,sporange,"sporange, sporangiole, sporangiola",❌
silicuar,silicular,silicular,"silicular, slicker, sicula",✅
enrcoachment,encroachment,encroachment,"encroachment, coachable, lavishment",✅
raconbeur,raconteur,raconteur,"raconteur, laconicum, beaconless",✅
schizophte,schizophyte,schizophyte,"schizophyte, schizont, schistic",✅
deformationla,deformational,deformational,"deformational, reformandum, desonation",✅
traeter,treater,treater,"treater, trant, citrometer",✅
nrecedent,precedent,precedent,"precedent, reeden, ascendent",✅
bicsuits,biscuits,biscuits,"biscuits, suist, bisext",✅
jagkes,jakes,jakes,"jakes, jagirdar, jawed",✅
ambjry,ambary,ambary,"ambary, ambrotype, ambulation",✅
carrto,carrot,carrot,"carrot, carry, cartoon",✅
sniuebill,snipebill,snipebill,"snipebill, snibbler, still",✅
catzfish,catfish,catfish,"catfish, countfish, henfish",✅
remaintain,premaintain,premaintain,"premaintain, unstain, untaintedly",✅
hypersensiize,hypersensitize,hypersensitize,"hypersensitize, supersensibly, oversensible",✅
barbayian,barbarian,barbarian,"barbarian, barbated, baria",✅
leger,legger,legger,"legger, colleger, integer",✅
infiublate,infibulate,infibulate,"infibulate, inoculate, infortunate",✅
bobwhie,bobwhite,bobwhite,"bobwhite, bobadil, bocasine",✅
blastoam,blastoma,blastoma,"blastoma, ballaster, befoam",✅
polyspondly,polyspondyly,polyspondyly,"polyspondyly, polysporic, polyspermal",✅
wape,rape,rape,"rape, gape, water",✅
resamp,restamp,restamp,"restamp, upstamp, understamp",✅
comnform,cominform,cominform,"cominform, conformal, cottiform",✅
boowwort,bowwort,bowwort,"bowwort, crosswort, starwort",✅
podran,poduran,poduran,"poduran, pterian, podex",✅
traducainism,traducianism,traducianism,"traducianism, caduca, diclinism",✅
uvuyarly,uvularly,uvularly,"uvularly, yearly, dourly",✅
evmrywhen,everywhen,everywhen,"everywhen, harshen, lichen",✅
aerentuerectasia,aerenterectasia,aerenterectasia,"aerenterectasia, terentian, metrectopia",✅
metahryolite,metarhyolite,metarhyolite,"metarhyolite, cryolite, cerolite",✅
stqrcraft,starcraft,starcraft,"starcraft, handicraftship, countershaft",✅
simulitdae,simuliidae,simuliidae,"simuliidae, dissimulative, sim",✅
barweood,barwood,barwood,"barwood, barways, bare",✅
urethrobumbar,urethrobulbar,urethrobulbar,"urethrobulbar, arthrogastra, erythroxyline",✅
pmadi,madi,madi,"madi, paladin, shopmark",✅
arao,parao,parao,"parao, dao, chao",✅
amatoriel,amatorial,amatorial,"amatorial, amateurish, historier",✅
strophioalated,strophiolated,strophiolated,"strophiolated, strophulus, apostrophied",✅
zn,zen,zen,"zen, zincky, zonated",✅
fanuistic,faunistic,faunistic,"faunistic, linguistic, schistic",✅
deformtional,deformational,deformational,"deformational, evectional, prepositional",✅
unifordmalization,uniformalization,uniformalization,"uniformalization, decimalization, visualization",✅
hmoekeeping,homekeeping,homekeeping,"homekeeping, helping, hipping",✅
cshizont,schizont,schizont,"schizont, myzont, rhizoid",✅
sheepshed,sheepshead,sheepshead,"sheepshead, shedded, sheepwalker",✅
xkphodontidae,xiphodontidae,xiphodontidae,"xiphodontidae, phymatidae, odontaspididae",✅
qhak,dhak,dhak,"dhak, quick, croaky",✅
laxgena,lagena,lagena,"lagena, irena, reoxygenate",✅
isocasite,isoclasite,isoclasite,"isoclasite, bocasine, isopilocarpine",✅
ovberculture,overculture,overculture,"overculture, sandculture, defaulture",✅
shivistic,shivaistic,shivaistic,"shivaistic, schistic, scotistic",✅
srofulism,scrofulism,scrofulism,"scrofulism, novelism, sibylism",✅
lithophagos,lithophagous,lithophagous,"lithophagous, lithophilous, lithophyllous",✅
spearativeness,separativeness,separativeness,"separativeness, separatism, derivativeness",✅
kamareztie,kamarezite,kamarezite,"kamarezite, kamba, akamatsu",✅
singiber,zingiber,zingiber,"zingiber, fiber, sibber",✅
mucoraceomus,mucoraceous,mucoraceous,"mucoraceous, miniaceous, cichoriaceous",✅
strongheadely,strongheadedly,strongheadedly,"strongheadedly, strontic, strontianite",✅
asasurance,assurance,assurance,"assurance, coinsurance, rasure",✅
apucifolious,paucifolious,paucifolious,"paucifolious, integrifolious, punctilious",✅
rhinjlite,rhinolite,rhinolite,"rhinolite, hinsdalite, radiolite",✅
crieps,cripes,cripes,"cripes, crepis, princeps",✅
stridelleg,strideleg,strideleg,"strideleg, stridlins, stratosphere",✅
stawberry,strawberry,strawberry,"strawberry, awber, briarberry",✅
urenger,murenger,murenger,"murenger, rumourmonger, weddinger",✅
dlar,dalar,dalar,"dalar, poplar, bipolar",✅
countereckoning,counterreckoning,counterreckoning,"counterreckoning, counternoise, counterraid",✅
wailfjul,wailful,wailful,"wailful, wainrope, aidful",✅
appedice,appendice,appendice,"appendice, appellatived, apple",✅
phottonus,phototonus,phototonus,"phototonus, probonus, photo",✅
increamte,incremate,incremate,"incremate, increst, incommode",✅
volenbtly,volently,volently,"volently, indolently, malevolent",✅
dissymapthy,dissympathy,dissympathy,"dissympathy, dissembler, dissheathe",✅
napsthoic,naphthoic,naphthoic,"naphthoic, naphthaline, nonanoic",✅
wdddlesome,waddlesome,waddlesome,"waddlesome, wranglesome, rattlesome",✅
pmonergism,monergism,monergism,"monergism, monergist, synenergistic",✅
sporixiole,sporidiole,sporidiole,"sporidiole, sporangiole, frixion",✅
shampoo,shampoo,shampoo,"shampoo, champa, tampoon",✅
enantioorphous,enantiomorphous,enantiomorphous,"enantiomorphous, perimorphous, hystricomorphous",✅
akoustically,acoustically,acoustically,"acoustically, juristically, cabalistically",✅
micocrith,microcrith,microcrith,"microcrith, brith, micate",✅
coffegrower,coffeegrower,coffeegrower,"coffeegrower, coffee, coffea",✅
nefcastle,newcastle,newcastle,"newcastle, nefast, feastless",✅
ghfafir,ghafir,ghafir,"ghafir, chair, safi",✅
puvlerizator,pulverizator,pulverizator,"pulverizator, authorization, curator",✅
puzzleheaded,puzzleheaded,puzzleheaded,"puzzleheaded, puzzled, marbleheader",✅
vstarnel,starnel,starnel,"starnel, encharnel, sturnella",✅
irrepleviabie,irrepleviable,irrepleviable,"irrepleviable, irreplaceably, repleviable",✅
topnoqtch,topnotch,topnotch,"topnotch, blotch, prematch",✅
aviairst,aviarist,aviarist,"aviarist, aversant, overburst",✅
mycebe,mycele,mycele,"mycele, mycetous, hyphomycetes",✅
rbicularis,orbicularis,orbicularis,"orbicularis, silicular, vehicular",✅
beabs,beans,beans,"beans, beaver, beached",✅
grubhxod,grubhood,grubhood,"grubhood, subhyoid, gruntingly",✅
ulwelcome,unwelcome,unwelcome,"unwelcome, tellsome, cumbersome",✅
osignate,obsignate,obsignate,"obsignate, resignation, signable",✅
unodppressiveness,unoppressiveness,unoppressiveness,"unoppressiveness, dissuasiveness, caressive",✅
miperite,imperite,imperite,"imperite, miswrite, misenite",✅
uppshness,uppishness,uppishness,"uppishness, foppishness, mopishness",✅
vmonophysitical,monophysitical,monophysitical,"monophysitical, aerophysics, paronomastical",✅
papellatived,appellatived,appellatived,"appellatived, flagellated, pelleted",✅
skywrzter,skywriter,skywriter,"skywriter, skywriting, skyward",✅
tadoledom,tadpoledom,tadpoledom,"tadpoledom, moviedom, bogydom",✅
twea,twae,tea,"tea, twae, twine",❌
sotsman,shotsman,shotsman,"shotsman, boatsman, craftsman",✅
unnecessarzily,unnecessarily,unnecessarily,"unnecessarily, seminecessary, unclassableness",✅
chevrcon,chevron,chevron,"chevron, chevaline, chew",✅
monocultfural,monocultural,monocultural,"monocultural, mongoloid, monolocular",✅
dropotu,dropout,dropout,"dropout, droplet, uropoietic",✅
sbileage,smileage,smileage,"smileage, salvage, snaileater",✅
ogrinsm,ogrism,ogrism,"ogrism, ogrish, berinse",✅
uccumber,cucumber,cucumber,"cucumber, misnumber, cumbersome",✅
trnga,tringa,tringa,"tringa, ganga, triangulation",✅
cheewe,cheese,chew,"chew, cheese, chao",❌
optve,optive,optive,"optive, conceptive, active",✅
embeallisher,embellisher,embellisher,"embellisher, ravisher, embed",✅
nondneominationalism,nondenominationalism,nondenominationalism,"nondenominationalism, antinationalist, nondangerous",✅
srolodization,solodization,solodization,"solodization, collodionization, faradization",✅
carbazole,carbazole,carbazole,"carbazole, carbeen, carburant",✅
rimeldss,rimeless,rimeless,"rimeless, rimu, gameless",✅
polglot,polyglot,polyglot,"polyglot, polygon, polytone",✅
umbonaet,umbonate,umbonate,"umbonate, amboinese, bonavist",✅
nonaniwer,nonanswer,nonanswer,"nonanswer, nonane, nonanoic",✅
diplanetism,diplanetism,diplanetism,"diplanetism, diclinism, diploperistomic",✅
lcarbowlines,larbowlines,larbowlines,"larbowlines, batfowling, decarbonator",✅
chhanoflagellidae,choanoflagellidae,choanoflagellidae,"choanoflagellidae, phytoflagellata, flagellated",✅
polysiphonea,polysiphonia,polysiphonia,"polysiphonia, polysidedness, polysporic",✅
cyanomethemogolbin,cyanomethemoglobin,cyanomethemoglobin,"cyanomethemoglobin, cyanoacetic, cyanuramide",✅
mipenitibleness,impenitibleness,impenitibleness,"impenitibleness, risibleness, coercibleness",✅
pjorism,pejorism,pejorism,"pejorism, ogrism, apriorist",✅
unploaned,unloaned,unplough,"unplough, unplace, unloaned",❌
voelntly,volently,volently,"volently, gauntly, indolently",✅
shuckicg,shucking,shucking,"shucking, shuffle, backing",✅
hhotochronography,photochronography,photochronography,"photochronography, seismochronograph, autophytography",✅
undisobeeyd,undisobeyed,undisobeyed,"undisobeyed, undisarmed, undizened",✅
tlyness,flyness,flyness,"flyness, overcoyness, tartness",✅
unformulqrize,unformularize,unformularize,"unformularize, unforestallable, unfroze",✅
phnbic,phobic,phobic,"phobic, aphetic, ambisyllabic",✅
toatra,totara,toatoa,"toatoa, totara, alcatras",❌
pigin,pidgin,pidgin,"pidgin, vigia, vigil",✅
photoeteor,photometeor,photometeor,"photometeor, photo, photoelectricity",✅
goal,gonal,gonal,"gonal, goral, gorbal",✅
uvuiol,uviol,uviol,"uviol, uveal, uvularly",✅
rael,real,real,"real, israeli, artel",✅
diwremember,disremember,disremember,"disremember, november, embed",✅
gafvanoscope,galvanoscope,galvanoscope,"galvanoscope, nasoscope, thoracoscope",✅
misnubmer,misnumber,misnumber,"misnumber, resubmit, stormer",✅
maxilopharyngeal,maxillopharyngeal,maxillopharyngeal,"maxillopharyngeal, subpharyngeal, chondropharyngeus",✅
laogmorpha,lagomorpha,lagomorpha,"lagomorpha, celeomorphae, cardiamorphia",✅
bronniardite,brongniardite,brongniardite,"brongniardite, roadite, broadwayite",✅
unldripping,undripping,undripping,"undripping, hipping, unlying",✅
ehizes,phizes,phizes,"phizes, whizzer, ephialtes",✅
cinhonize,cinchonize,cinchonize,"cinchonize, inthronize, metaphonize",✅
unruddle,unriddle,unriddle,"unriddle, unridden, buddle",✅
traynslatress,translatress,translatress,"translatress, translationally, transparish",✅
pertinaiously,pertinaciously,pertinaciously,"pertinaciously, pertinence, verminously",✅
hgydronitric,hydronitric,hydronitric,"hydronitric, hydropathic, coronitis",✅
yeraly,yearly,yearly,"yearly, yercum, yeomanly",✅
grevnd,greund,greund,"greund, griffinage, grecian",✅
oodine,ondine,ondine,"ondine, flooding, sourdine",✅
objectifiaation,objectification,objectification,"objectification, objectee, certification",✅
rceivilize,recivilize,recivilize,"recivilize, sucivilized, civil",✅
mydaidke,mydaidae,mydaidae,"mydaidae, hydride, dail",✅
cflammy,clammy,clammy,"clammy, pommy, stummy",✅
nonoxyrgenous,nonoxygenous,nonoxygenous,"nonoxygenous, nonexpiation, zymogenous",✅
solodizmtion,solodization,solodization,"solodization, collodionization, sortition",✅
scnistic,schistic,schistic,"schistic, scotistic, faunistic",✅
disrpactice,dispractice,dispractice,"dispractice, disreputability, disorb",✅
proector,protector,protector,"protector, proctorrhea, progresser",✅
vipress,viperess,viperess,"viperess, depressed, oppressor",✅
pseudolcamellibranchiata,pseudolamellibranchiata,pseudolamellibranchiata,"pseudolamellibranchiata, siphonobranchiate, pseudocritical",✅
fbigidly,frigidly,frigidly,"frigidly, overidly, pinnatifidly",✅
djrumlin,drumlin,drumlin,"drumlin, dialin, grimliness",✅
eantagony,antagony,antagony,"antagony, intaglio, interantagonism",✅
caliclase,calciclase,calciclase,"calciclase, caliphal, caliologist",✅
euglenaceea,euglenaceae,euglenaceae,"euglenaceae, verbenaceae, pectinacea",✅
idtrastromal,intrastromal,intrastromal,"intrastromal, ultraformal, extrasterile",✅
bifurctaion,bifurcation,bifurcation,"bifurcation, fictation, burion",✅
endidem,endiadem,endiadem,"endiadem, undight, tandem",✅
conjectuer,conjecturer,conjecturer,"conjecturer, objectee, confection",✅
scrbial,scribal,scribal,"scribal, scrupuli, labial",✅
proportlioned,proportioned,proportioned,"proportioned, portless, fanioned",✅
splanchnoptotia,splanchnoptosia,splanchnoptosia,"splanchnoptosia, splenology, splenectomize",✅
menopoxma,menopoma,menopoma,"menopoma, menopausal, monopodium",✅
undascendible,undescendible,undescendible,"undescendible, undiscussable, endaspidean",✅
anhemy,anthemy,anthemy,"anthemy, panhyperemia, anes",✅
platystenephalia,platystencephalia,platystencephalia,"platystencephalia, leptocephalia, platycheiria",✅
neuorpile,neuropile,neuropile,"neuropile, neuroblastoma, neurale",✅
alar,dalar,alarm,"alarm, dalar, alarmingly",❌
aquoeusly,aqueously,aqueously,"aqueously, aquose, languorously",✅
bthy,bothy,bothy,"bothy, forthy, wealthy",✅
nuenforceable,unenforceable,unenforceable,"unenforceable, forcedly, experienceable",✅
overcontentpdly,overcontentedly,overcontentedly,"overcontentedly, overcoyness, contentedly",✅
ol,oil,wool,"wool, oil, al",❌
hhizzer,whizzer,whizzer,"whizzer, grizzel, gothicizer",✅
hhteroerotic,heteroerotic,heteroerotic,"heteroerotic, heterotic, autoerotic",✅
crteefaction,cretefaction,cretefaction,"cretefaction, patefaction, presatisfaction",✅
bimolecualr,bimolecular,bimolecular,"bimolecular, dimolecular, polymolecular",✅
ligkt,light,light,"light, lighting, linguata",✅
gynocaric,gynocardic,gynocardic,"gynocardic, gynecocratic, gynophagite",✅
ymblepharon,symblepharon,symblepharon,"symblepharon, blepharostenosis, blepharoceridae",✅
clavelizaoion,clavelization,clavelization,"clavelization, cavelike, gentilization",✅
entrappingnly,entrappingly,entrappingly,"entrappingly, undripping, untrumping",✅
preedent,precedent,reeden,"reeden, precedent, pretendant",❌
aptxroid,apteroid,apteroid,"apteroid, cancroid, choleroid",✅
cafressant,caressant,caressant,"caressant, afresh, aversant",✅
preculturaly,preculturally,preculturally,"preculturally, culturally, precolor",✅
saymmetrical,asymmetrical,asymmetrical,"asymmetrical, metrical, altimetrical",✅
hipner,hiper,hiper,"hiper, dipneumones, hipping",✅
miletonist,miltonist,miltonist,"miltonist, fictionist, galenist",✅
strophuljs,strophulus,strophulus,"strophulus, strophiolated, scyphulus",✅
triotma,tritoma,tritoma,"tritoma, trioctile, tringa",✅
ioor,door,door,"door, moore, rigor",✅
peaucifolious,paucifolious,paucifolious,"paucifolious, pauciflorous, integrifolious",✅
advanceabxle,advanceable,advanceable,"advanceable, adventurish, experienceable",✅
akoulafion,akoulalion,akoulalion,"akoulalion, ambulation, inoculation",✅
zingibre,zingiber,zingiber,"zingiber, frangible, zincky",✅
talkaility,talkability,talkability,"talkability, unsalvability, laminability",✅
firstdness,firstness,firstness,"firstness, firstly, fremdness",✅
thylacynms,thylacynus,thylacynus,"thylacynus, phyllachora, acylamino",✅
scapl,scapel,scapel,"scapel, scapuloclavicular, scopula",✅
barlrowman,barrowman,barrowman,"barrowman, hallowmas, barbarian",✅
blearnes,blearness,blearness,"blearness, blarneyer, unearnest",✅
investbile,investible,investible,"investible, investigatory, invisibly",✅
nonhemical,nonchemical,nonchemical,"nonchemical, pyrochemically, polemically",✅
culmiferuos,culmiferous,culmiferous,"culmiferous, costiferous, pulmonifer",✅
inklmss,inkless,inkless,"inkless, inglorious, unglossiness",✅
uncrevased,uncrevassed,uncrevassed,"uncrevassed, uncoifed, uncuffed",✅
dum,duim,duim,"duim, dumbness, dumpishly",✅
